"Tipo Vehículo","Capacidad en Centrimetros Cubicos","Tipo de Transmisión","Kilometros Recorridos","Tipo Combustible","Asientos","Consumo de Combustible en Kilometros por litro","Año Modelo","Valor de Reventa"
"Accord Sedán Híbrido","1198","Manual","60000","Petrol","5","19.4","2012","30094"
"Accord Sedán Híbrido","1198","Manual","50000","Petrol","5","19.4","2013","30078"
"Accord Sedán Híbrido","1198","Manual","69000","Petrol","5","16","2011","29998"
"Accord Sedán Híbrido","1198","Manual","41424","Petrol","5","19.4","2013","30518"
"Accord Sedán Híbrido","1198","Manual","51463","Petrol","5","19.4","2014","30500"
"Accord Sedán Híbrido","1198","Manual","68943","Petrol","5","19.4","2013","30111"
"Accord Sedán Híbrido","1198","Manual","47183","Petrol","5","19.4","2014","30500"
"Accord Sedán Híbrido","1199","Automatic","32000","Petrol","5","18.2","2015","30253"
"Accord Sedán Híbrido","1199","Manual","51000","Petrol","5","18.7","2015","30361"
"Accord Sedán Híbrido","1199","Manual","28000","Petrol","5","18.2","2019","30735"
"Accord Sedán Híbrido","1199","Manual","55000","Petrol","5","18.7","2016","30658"
"Accord Sedán Híbrido","1198","Manual","46000","Petrol","5","18.5","2018","30574"
"Accord Sedán Híbrido","1198","Manual","58000","Petrol","5","16","2010","30166"
"Accord Sedán Híbrido","1198","Manual","39000","Petrol","5","16.7","2012","30226"
"Accord Sedán Híbrido","1198","Manual","61000","Petrol","5","19.4","2013","30353"
"Accord Sedán Híbrido","1199","Manual","34902","Petrol","5","18.7","2016","30634"
"Accord Sedán Híbrido","1199","Automatic","29478","Petrol","5","19","2016","30538"
"Accord Sedán Híbrido","1199","Automatic","29463","Petrol","5","19","2016","30370"
"Accord Sedán Híbrido","1199","Automatic","112010","Petrol","5","19","2015","30352"
"Accord Sedán Híbrido","1199","Manual","58730","Petrol","5","18.7","2016","30602"
"Accord Sedán Híbrido","1198","Manual","75029","Petrol","5","19.4","2014","30440"
"Accord Sedán Híbrido","1198","Automatic","94297","Petrol","5","16.5","2013","30122"
"Accord Sedán Híbrido","1198","Manual","70000","Petrol","5","19.4","2013","30320"
"Accord Sedán Híbrido","1198","Manual","70000","Petrol","5","19.4","2012","30382"
"Accord Sedán Híbrido","1198","Manual","70000","Petrol","5","19.4","2012","30250"
"Accord Sedán Híbrido","1198","Manual","70000","Petrol","5","19.4","2012","30082"
"Accord Sedán Híbrido","1498","Manual","71957","Diesel","5","27.3","2016","30298"
"Accord Sedán Híbrido","1198","Manual","120000","Petrol","5","16.7","2011","30115"
"Accord Sedán Híbrido","1198","Manual","120000","Petrol","5","16.7","2011","30310"
"Accord Sedán Híbrido","1198","Manual","55310","Petrol","5","19.4","2012","30286"
"Accord Sedán Híbrido","1199","Manual","69508","Petrol","5","18.7","2017","30481"
"Accord Sedán Híbrido","1198","Manual","64551","Petrol","5","19.4","2013","30199"
"Accord Sedán Híbrido","1198","Manual","14382","Petrol","5","18.5","2018","30772"
"Accord Sedán Híbrido","1199","Manual","60000","Petrol","5","18.7","2016","30650"
"Accord Sedán Híbrido","1198","Manual","29000","Petrol","5","18.5","2016","30490"
"Accord Sedán Híbrido","1199","Manual","37000","Petrol","5","18.7","2018","30508"
"Accord Sedán Híbrido","1199","Automatic","55242","Petrol","5","17.1","2017","30705"
"Accord Sedán Híbrido","1199","Manual","29000","Petrol","5","18.7","2020","30738"
"Accord Sedán Híbrido","1199","Manual","52000","Petrol","5","18.7","2015","30514"
"Accord Sedán Híbrido","1199","Automatic","33625","Petrol","5","17.1","2017","30495"
"Accord Sedán Híbrido","1198","Manual","77000","Petrol","5","19.4","2014","30380"
"Accord Sedán Híbrido","1199","Automatic","20000","Petrol","5","17.1","2021","30898"
"Accord Sedán Híbrido","1199","Automatic","30000","Petrol","5","18.2","2018","30538"
"Accord Sedán Híbrido","1198","Manual","77644","Petrol","5","19.4","2015","30451"
"Accord Sedán Híbrido","1199","Automatic","60773","Petrol","5","19","2017","30628"
"Accord Sedán Híbrido","1199","Manual","30000","Petrol","5","18.7","2017","30495"
"Accord Sedán Híbrido","1199","Automatic","20000","Petrol","5","18.2","2019","30640"
"Accord Sedán Híbrido","1198","Manual","84489","Petrol","5","19.4","2013","30188"
"Accord Sedán Híbrido","1199","Automatic","26465","Petrol","5","19","2017","30432"
"Accord Sedán Híbrido","1199","Automatic","28897","Petrol","5","19","2017","30404"
"Accord Sedán Híbrido","1199","Manual","47530","Petrol","5","18.7","2015","30415"
"Accord Sedán Híbrido","1199","Manual","67004","Petrol","5","18.7","2016","30378"
"Accord Sedán Híbrido","1199","Automatic","96184","Petrol","5","19","2016","30562"
"Accord Sedán Híbrido","1199","Manual","46400","Petrol","5","18.7","2016","30602"
"Accord Sedán Híbrido","1199","Automatic","32300","Petrol","5","19","2017","30439"
"Accord Sedán Híbrido","1199","Automatic","45429","Petrol","5","19","2016","30586"
"Accord Sedán Híbrido","1199","Manual","42640","Petrol","5","18.7","2017","30579"
"Accord Sedán Híbrido","1198","Manual","52044","Petrol","5","19.4","2015","30334"
"Accord Sedán Híbrido","1199","Manual","65768","Petrol","5","18.7","2016","30410"
"Accord Sedán Híbrido","1199","Manual","73674","Petrol","5","18.7","2016","30394"
"Accord Sedán Híbrido","1199","Manual","61000","Petrol","5","18.7","2016","30562"
"Accord Sedán Híbrido","1199","Manual","41925","Petrol","5","18.7","2017","30663"
"Accord Sedán Híbrido","1199","Automatic","51690","Petrol","5","18.2","2018","30646"
"Accord Sedán Híbrido","1199","Manual","71901","Petrol","5","18.7","2016","30562"
"Accord Sedán Híbrido","1498","Manual","66030","Diesel","5","27.3","2016","30458"
"Accord Sedán Híbrido","1498","Manual","38100","Diesel","5","27.3","2017","30621"
"Accord Sedán Híbrido","1199","Manual","71901","Petrol","5","18.7","2016","30594"
"Accord Sedán Híbrido","1199","Manual","60309","Petrol","5","18.2","2019","30755"
"Accord Sedán Híbrido","1199","Manual","24774","Petrol","5","17.1","2021","30925"
"Accord Sedán Híbrido","1199","Manual","57424","Petrol","5","18.7","2019","30620"
"Accord Sedán Híbrido","1199","Manual","60309","Petrol","5","18.2","2019","30700"
"Accord Sedán Híbrido","1199","Manual","35983","Petrol","5","18.7","2017","30649"
"Accord Sedán Híbrido","1198","Manual","63309","Petrol","5","18.5","2015","30415"
"Accord Sedán Híbrido","1199","Manual","69425","Petrol","5","18.7","2016","30442"
"Accord Sedán Híbrido","1498","Manual","77245","Diesel","5","27.3","2015","30550"
"Accord Sedán Híbrido","1198","Manual","101067","Petrol","5","19.4","2016","30530"
"Accord Sedán Híbrido","1198","Manual","57769","Petrol","5","16","2012","30466"
"Accord Sedán Híbrido","1199","Manual","35000","Petrol","5","18.7","2017","30481"
"Accord Sedán Híbrido","1199","Automatic","30000","Petrol","5","19","2017","30551"
"Accord Sedán Híbrido","1199","Manual","30000","Petrol","5","18.7","2018","30628"
"Accord Sedán Híbrido","1199","Manual","75000","Petrol","5","18.2","2015","30433"
"Accord Sedán Híbrido","1199","Automatic","40000","Petrol","5","19","2015","30289"
"Accord Sedán Híbrido","1199","Manual","62501","Petrol","5","18.7","2016","30410"
"Accord Sedán Híbrido","1198","Manual","50000","Petrol","5","19.4","2013","30001"
"Accord Sedán Híbrido","1198","Manual","34231","Petrol","5","19.4","2016","30578"
"Accord Sedán Híbrido","1199","Automatic","97248","Petrol","5","19","2017","30495"
"Accord Sedán Híbrido","1199","Manual","60909","Petrol","5","18.7","2017","30712"
"Accord Sedán Híbrido","1198","Manual","100000","Petrol","5","19.4","2013","30342"
"Accord Sedán Híbrido","1498","Manual","80000","Diesel","5","27.3","2018","30616"
"Accord Sedán Híbrido","1199","Manual","50649","Petrol","5","18.7","2017","30572"
"Accord Sedán Híbrido","1198","Manual","107156","Petrol","5","19.4","2012","29902"
"Accord Sedán Híbrido","1199","Manual","7171","Petrol","5","17.1","2021","30874"
"Accord Sedán Híbrido","1198","Manual","146342","Petrol","5","19.4","2013","30012"
"Accord Sedán Híbrido","1198","Manual","60203","Petrol","5","19.4","2012","30214"
"Accord Sedán Híbrido","1198","Manual","116220","Petrol","5","19.4","2012","30106"
"Accord Sedán Híbrido","1198","Manual","62642","Petrol","5","19.4","2013","30364"
"Accord Sedán Híbrido","1199","Automatic","66247","Petrol","5","19","2017","30453"
"Accord Sedán Híbrido","1199","Automatic","56621","Petrol","5","19","2016","30570"
"Accord Sedán Híbrido","1198","Automatic","54147","Petrol","5","16.5","2013","30001"
"Accord Sedán Híbrido","1198","Manual","57686","Petrol","5","19.4","2012","30154"
"Accord Sedán Híbrido","1199","Automatic","59541","Petrol","5","19","2017","30411"
"Accord Sedán Híbrido","1198","Manual","53300","Petrol","5","19.4","2012","29890"
"Accord Sedán Híbrido","1198","Manual","61519","Petrol","5","19.4","2014","30320"
"Accord Sedán Híbrido","1199","Automatic","74151","Petrol","5","19","2017","30502"
"Accord Sedán Híbrido","1199","Manual","40509","Petrol","5","18.7","2015","30532"
"Accord Sedán Híbrido","1198","Manual","84000","Petrol","5","19.4","2013","30276"
"Accord Sedán Híbrido","1199","Manual","35010","Petrol","5","18.7","2018","30682"
